system;sector;region;grid
Ganzik;Maldrood;Mid Rim;R-7
Genetia;;Expansion Region;I-14
Garban;Abrion;Outer Rim Territories;S-15
Genhu;Tharin (Periphery);Outer Rim Territories;S-8
Garcornia;Ado;Mid Rim;M-17
Genian;Trax;Mid Rim;P-10
Gardaji Rift;(Gardaji);Outer Rim Territories;M-1
Geniseria;Jurzan;Expansion Region;M-15
Garel;Lothal;Outer Rim Territories;U-7
Genon;;Inner Rim;N-13
Garen;Thuldin's Grant;Expansion Region;J-15
Genosha;;Outer Rim Territories;I-20
Garfin;Immeria;Expansion Region;O-14
Geonosis;Arkanis;Outer Rim Territories;R-16
Gargolyn;;Wild Space;I-8
Gepparin;Shelsha;Colonies;M-9
Gargon;Mandalore;Outer Rim Territories;O-7
Geptish;Yushan;Mid Rim;K-17
Garia;Brak;Expansion Region;O-14
Geran;Calaron;Outer Rim Territories;T-9
Garis;Tamarin;Outer Rim Territories;N-18
Gerhalt;Altier;Expansion Region;O-13
Garn;Cadma;Outer Rim Territories;T-8
Geridard;Doldur;Mid Rim;P-15
Garnib;Bozhnee;Outer Rim Territories;L-18
Gerinia;Trans-Vulta;Mid Rim;N-7
Garobi;Tapani;Colonies;L-13
Geris;Trans-Vulta;Mid Rim;O-7
Garollia;Baroli;Expansion Region;N-15
Geroon;;Unknown Regions;I-8
Garos;Msst;Mid Rim;P-7
Gerrard;;Core Worlds;K-12
Garqi;Cassander (Tadrin);Outer Rim Territories;K-5
Gerrenthum;Javin (Anoat);Outer Rim Territories;K-18
Garr'lst;;Inner Rim;O-8
Gerres Gule;Primtara;Mid Rim;P-15
Garrthinius;Steniplis;Outer Rim Territories;M-18
Gerrigon;Masla;Mid Rim;J-17
Garwillia;;Core Worlds;M-10
Gertafuu;;Wild Space;S-18
Gascon;Trans-Gascon;Mid Rim;P-8
Gerzob;Hunnoverrs;Outer Rim Territories;R-18
Gastrula;Rayter;Outer Rim Territories;J-19
Gesaral Beta;Gordian Reach;Outer Rim Territories;P-6
Gatalenta;;Core Worlds;M-10
Gesaril;Minos Cluster;Outer Rim Territories;M-20
Gathus;Tynquay;Outer Rim Territories;Q-4
Geska Prime;Lifh;Mid Rim;Q-8
Gattering;Noolian;Mid Rim;Q-13
Gestrex;Calaron;Outer Rim Territories;T-9
Gaulus;Gaulus;Outer Rim Territories;S-17
Gestron;Tennuutta;Mid Rim;Q-7
Gaurick;Corporate Sector;Outer Rim Territories;S-4
Gevarno Cluster;Brema;Outer Rim Territories;M-17
Gavana;Belasco;Expansion Region;O-11
Ggy-ynt;Esuain;Mid Rim;Q-7
Gavens;Tregillis;Expansion Region;M-15
GH-531;;Unknown Regions;I-5
Gavos;Kastolar;Mid Rim;Q-10
Ghaina;;Core Worlds;K-9
Gavriza;Prackla;Expansion Region;O-8
Ghalla;Airam;Outer Rim Territories;L-20
Gavryn;Romintine;Mid Rim;Q-8
Gheia;Albarrio;Outer Rim Territories;K-5
Gaxxa;;Inner Rim;N-10
Gherillia;Bes Ber Bikade;Expansion Region;L-15
Gazian;Truum;Mid Rim;P-8
Ghishi;Daimar;Mid Rim;Q-16
Gazzari;Grumani;Outer Rim Territories;M-17
Ghita;Atravis;Outer Rim Territories;L-19
Gazzari Minor;Garis;Outer Rim Territories;N-17
Ghoba;Chitarghar;Expansion Region;K-15
Gbu;Keldrath;Outer Rim Territories;T-6
Gholondreine;Chitarghar;Expansion Region;K-15
Geal;Gendius;Mid Rim;K-17
Ghonoath;Croynar;Inner Rim;M-14
Ghorman;Sern;Colonies;L-13
Gonmore;Fath;Outer Rim Territories;K-6
Ghorn;Tharin (Karstaxon);Outer Rim Territories;S-8
Gontzol;;Colonies;L-13
Ghost Moon;Wornal;Mid Rim;K-16
Goorla;Corellian;Core Worlds;M-11
Ghost Nebula;Ghost Nebula;Expansion Region;P-10
Goratak;Vensensor;Expansion Region;K-16
Ghothia;Stensen;Outer Rim Territories;I-16
Gorbah;Atravis;Outer Rim Territories;L-19
Gibad;Abrion;Outer Rim Territories;S-15
Gorgaria;Karthakk;Outer Rim Territories;Q-17
Gibbela;Atrivis;Outer Rim Territories;L-5
Gorm;Meerian;Outer Rim Territories;O-6
Gibraal;Itopol;Expansion Region;K-15
Gorma;Majoor;Expansion Region;N-15
Giddea;Merthian;Expansion Region;N-13
Gormen;Nuiri;Outer Rim Territories;Q-7
Giermos;;Colonies;L-8
Gorno;Arkanis;Outer Rim Territories;R-17
Gigor;Tynquay;Outer Rim Territories;R-4
Gorobei;;Inner Rim;M-8
Giju;Herglic Space;Colonies;L-13
Goroth;Trans-Nebular;Mid Rim;R-16
Gilatter;Churnis;Mid Rim;I-7
Gorse;;Inner Rim;O-10
Gilliana;Tapani;Colonies;L-13
Gorsh;;Wild Space;O-3
Gilvaanen;;Inner Rim;L-8
Gortus;Kanz;Outer Rim Territories;N-4
Ginn Jump;;Core Worlds;L-10
Gorvinia;Thusa;Mid Rim;O-7
Giryulan;;Wild Space;U-6
Gos Hutta;;Hutt Space;S-11
Gizer;Lantillian;Mid Rim;P-8
Gosfambling;Lifh;Mid Rim;R-8
Glade;Gordian Reach;Outer Rim Territories;P-5
Gosho;Parmel;Outer Rim Territories;O-18
Glakka;Wyl;Outer Rim Territories;R-4
Goshyn;Tolonda;Outer Rim Territories;Q-18
Glassferra;;Inner Rim;N-9
Gotar;;Wild Space;U-9
Glastis;Chiss Space*;Unknown Regions;F-8
Gotida;;Inner Rim;O-10
Glavis;;Core Worlds;M-11
Gotoma;Farlax;Core Worlds;K-10
Glee Anselm;Jalor;Mid Rim;J-7
Gottlegoob;;Wild Space;O-20
Gligger;Ash Worlds;Outer Rim Territories;S-7
Govia;Corellian;Core Worlds;M-11
Glite-Ven;Aparo;Outer Rim Territories;R-3
Gowdawl;;Inner Rim;M-14
Glithnos;;Core Worlds;M-10
Gozgo;;Hutt Space;S-9
Glom Tho;Hevvrol;Mid Rim;O-15
Gra Ploven;;Colonies;N-12
Gloon;Kessel;Outer Rim Territories;T-10
Graador;Graador;Mid Rim;I-17
Glottal;Baxel;Outer Rim Territories;U-11
Graal'diin;Spadja;Outer Rim Territories;R-6
Glova;Tarabba;Outer Rim Territories;M-19
Graddus Rex;;Inner Rim;L-14
Gmar Askilon;Krenhner;Inner Rim;L-14
Gradilis Rift;;Wild Space;I-5
Gnithia;Jospro;Outer Rim Territories;R-7
Grakouine;Onatos;Mid Rim;R-15
Goa;Bes Ber Bikade;Expansion Region;L-15
Gralack;Kwymar;Outer Rim Territories;P-4
Gobindi;Noonian;Outer Rim Territories;M-6
Graland;Corellian;Core Worlds;M-11
Gobreton;Barma;Colonies;M-9
Grand Tharkand;;Inner Rim;O-9
Godo;Quence;Outer Rim Territories;O-18
Grandak;Cronese Mandate;Outer Rim Territories;S-6
Godsheart, The;;Hutt Space;T-11
Grandeel;Tynna;Expansion Region;N-14
Goelitz;M'shinni;Mid Rim;M-7
Grandine;;Colonies;M-9
Goff;Airam;Outer Rim Territories;L-20
Grange;Kurost;Mid Rim;Q-11
Goibniu;Videnda;Outer Rim Territories;L-18
Granna;;Core Worlds;K-10
Golatha;Dalicron;Outer Rim Territories;K-19
Granus;;Inner Rim;M-14
Golatha Nebula;Dalicron;Outer Rim Territories;K-19
Grast;;Inner Rim;J-14
Golden Nyss;Fellwe;Expansion Region;L-8
Grathus;Jospro;Outer Rim Territories;R-7
Golh;Videnda;Outer Rim Territories;L-18
Grava;Kallea;Outer Rim Territories;K-20
Goliath Mal;;Colonies;N-10
Gravan;;Inner Rim;O-8
Golkus;;Colonies;K-9
Gravane;Klina;Outer Rim Territories;S-13
Golrath;Sanbra;Outer Rim Territories;O-17
Gravdinia;;Colonies;N-10
Golus Pheyar;Tion Hegemony;Outer Rim Territories;T-6
Gravlex Med;Raioballo;Outer Rim Territories;L-4
Golus Station;Vilonis;Mid Rim;O-16
Great Aglamerti;Charra;Expansion Region;P-14
Goluud Minor;;Core Worlds;L-10
Great Forveen Nebula;Churnis;Mid Rim;J-6
Goluud Prime;;Deep Core;L-10
Great Zilk;Irishi;Mid Rim;K-6
Gom;Tregillis;Expansion Region;L-15
Greater Marianas;Sevetta;Outer Rim Territories;S-15
Gon Tiek;Atravis;Outer Rim Territories;L-19
Gree;Veragi (Gree Enclave);Outer Rim Territories;L-2
Gonda;Bon'nyuw-Luq;Outer Rim Territories;N-18
Gree Baaker;Atrivis;Outer Rim Territories;L-5
Gondagali;Lahara;Outer Rim Territories;M-5
Greeb-Streebling Cluster;Bozhnee;Outer Rim Territories;L-18
Greeve;Grumani;Outer Rim Territories;N-17
Hakara;Corva;Outer Rim Territories;P-3
Gregonia;Dimean;Expansion Region;P-13
Hakartha;Hakartha;Expansion Region;K-16
Grehollo;Manoe;Mid Rim;K-7
Hakassi;;Deep Core;M-11
Grella;Tapani;Colonies;L-13
Hakotei;D'Astan;Outer Rim Territories;O-6
Greyman's Planet;Wazta;Outer Rim Territories;J-18
Halais;;Colonies;N-10
Grimdock;Axion;Expansion Region;P-10
Halanit;;Colonies;N-11
Grimwald;Truum;Mid Rim;P-8
Halbara;Elrood;Outer Rim Territories;M-20
Griq;;Unknown Regions;H-7
Halcyon;;Colonies;K-13
Grizal;Hadar;Mid Rim;L-17
Haldeen;Haldeen;Colonies;M-9
Grizmallt;;Core Worlds;L-9
Hali;Hali;Expansion Region;O-9
Gromas;Perkell;Mid Rim;Q-7
Hallion;Esstran (Sith Worlds);Outer Rim Territories;R-5
Groth;;Hutt Space;S-11
Hallitron;Jalor;Mid Rim;J-7
Grumwall;Illisurevimurasi;Outer Rim Territories;Q-4
Halloways;;Inner Rim;O-9
Gruvia;Hilo;Expansion Region;P-13
Hallrin;Surron;Expansion Region;O-13
Gryphon;;Inner Rim;N-9
Halm;Halm;Mid Rim;J-16
Guagenia;Guagenian;Inner Rim;J-14
Halmad;Quelii;Outer Rim Territories;N-6
Guat'a;Torch Nebula;Outer Rim Territories;P-19
Halowan;Fakir;Colonies;K-9
Guavian Drift;Meram;Outer Rim Territories;P-4
Halpat;;Core Worlds;K-9
GUHL-J03870;Trilon;Outer Rim Territories;H-15
Halthor;Halthor;Outer Rim Territories;L-6
Guiteica;Kadok Regions*;Wild Space;J-4
Haluria;Vendusii;Mid Rim;P-16
Gulf of Tatooine;Arkanis;Outer Rim Territories;R-16
Halyard;Bes Ber Bikade;Expansion Region;L-15
Gulhadar;;Inner Rim;L-8
Handooine;Phelleem;Outer Rim Territories;S-7
Gulma;;Wild Space;P-3
Haneli;Arc d'Stot;Expansion Region;K-15
Gultanna;Va di Gult;Mid Rim;K-8
Hanna;;Inner Rim;M-8
Gulvitch;Gordian Reach;Outer Rim Territories;Q-6
Hanod;Corva;Outer Rim Territories;P-3
Gundravia;Hadar;Mid Rim;L-17
Hanofar;;Colonies;L-13
Gunthar;Kriz;Outer Rim Territories;J-18
Hapes;Hapes Cluster;Inner Rim;O-9
Gurrisalia;Relgim;Outer Rim Territories;L-5
Hapor;;Inner Rim;O-8
Gutretee;Javin (Anoat);Outer Rim Territories;K-18
Hapuntep;Ado;Mid Rim;M-17
Guudria;;Wild Space;R-19
Har Binande;Har Worlds;Expansion Region;J-16
Guuko;Weneen;Outer Rim Territories;N-6
Harbin-re;;Inner Rim;N-13
Gwar;;Mid Rim;H-15
Harda;Phelleem;Outer Rim Territories;S-7
Gwongdeen;;Colonies;J-9
Hardex;Jubilar;Outer Rim Territories;T-7
Gwori;Clacis;Outer Rim Territories;K-4
Hargeeva;Jurzan;Expansion Region;M-15
Gymelo;Bakura;Outer Rim Territories;G-16
Harix;;Colonies;K-9
Gyndine;Circarpous;Expansion Region;O-12
Harko Station;D'Astan;Outer Rim Territories;N-5
Gyndorath;;Unknown Regions;G-11
Harkrova;;Inner Rim;N-9
Gyosha;;Core Worlds;K-12
Harlequin Station;Garis;Outer Rim Territories;N-17
H'Grathi Nebulae;Thrasybule;Outer Rim Territories;P-6
Harloen;Belsmuth;Outer Rim Territories;O-6
H'ken;Corva;Outer Rim Territories;P-4
Harloff Minor;;Core Worlds;L-9
H'nemthe;Mayagil;Outer Rim Territories;M-18
Harpori;Druess;Mid Rim;O-15
H'ratth;;Inner Rim;N-10
Harrandarr;Bosph;Outer Rim Territories;Q-3
H'relac;Aparo;Outer Rim Territories;R-3
Harridan;Dantus;Outer Rim Territories;J-6
Haariden;;Inner Rim;O-9
Harrin;Harrin;Inner Rim;L-15
Haaridin;Kwymar;Outer Rim Territories;P-4
Harrod's Planet;Oplovis;Outer Rim Territories;M-5
Haashimut;Ash Worlds;Outer Rim Territories;S-7
Harswee;Mandalore;Outer Rim Territories;O-7
Habassa;Herdessa;Mid Rim;Q-16
Hartaga;Drannik;Expansion Region;K-8
Had Abbadon;;Deep Core;L-10
Harterra;Hapes Cluster;Inner Rim;O-9
Hadi;Kalamith;Outer Rim Territories;P-5
Haruun Kal;Dustig;Mid Rim;M-17
Hadlress;;Inner Rim;M-14
Hasaq;Askarian;Expansion Region;P-12
Hadros;Prefsbelt;Outer Rim Territories;J-6
Haseria;Haserian;Mid Rim;P-15
Hafernia;;Inner Rim;J-8
Hasiki;;Inner Rim;O-8
Haffrin;Esstran;Outer Rim Territories;Q-4
Hassaria;Wazta;Outer Rim Territories;I-17
Hagar Secundus;Brak;Expansion Region;O-14
Hasskyn;Minos Cluster;Outer Rim Territories;M-20
Haidoral Prime;Kastolar;Mid Rim;R-10
Hast;;Wild Space;U-6
Haileap;Tunka (Dalnan);Outer Rim Territories;I-19
Hathrox;Halla;Mid Rim;R-10
Haurgab;Spirva;Mid Rim;L-16
Hijarna;Orus;Inner Rim;M-8
Havel Prime;;Inner Rim;L-8
Hijo;Hijoian Space;Expansion Region;J-8
Haven;Minos Cluster;Outer Rim Territories;M-20
Hikil;Grohl;Outer Rim Territories;R-16
Haverling;Albarrio;Outer Rim Territories;K-5
Hillindor;Echo;Inner Rim;M-13
Havricus;;Colonies;N-12
Hilo;Hilo;Expansion Region;O-13
Hazun;Astal;Outer Rim Territories;P-17
Hinakuu;Calamari;Outer Rim Territories;U-6
Hazzard;Lahara;Outer Rim Territories;M-5
Hinari;Thesme;Outer Rim Territories;O-6
Heap Nine;Boeus;Expansion Region;M-15
Hinda;Airam;Outer Rim Territories;L-20
Hebekrr;Ojoster;Outer Rim Territories;N-7
Hindasar;Corpheli;Expansion Region;M-8
Heffrin;Arkanis;Outer Rim Territories;R-17
Hindle;;Core Worlds;M-12
Hefi;Abrion;Outer Rim Territories;S-15
Hino;;Colonies;N-10
Hei;Thrasybule;Outer Rim Territories;P-6
Hintis;Parmel;Outer Rim Territories;O-18
Heliconia;;Core Worlds;L-10
Hintivan;Corva;Outer Rim Territories;Q-3
Helikoprion;Nilgaard;Outer Rim Territories;S-5
Hiorin;Ash Worlds;Outer Rim Territories;T-6
Helix;Meridian;Outer Rim Territories;R-6
Hirsi;Elbaran;Mid Rim;J-17
Helleguth;;Inner Rim;N-13
Hishyim;Abrion;Outer Rim Territories;S-15
Hellenah;Xan;Mid Rim;Q-15
Hismaul;Karthakk;Outer Rim Territories;Q-16
Hellhoop, The;Hocatar;Expansion Region;P-12
Hisseen;Yucrales;Mid Rim;R-15
Hellios;Tapani;Colonies;L-13
Hissrich;Spadja;Outer Rim Territories;R-6
Helmaxa;;Inner Rim;M-14
Hitaka;Cademimu;Outer Rim Territories;M-6
Helska;Dalonbian;Outer Rim Territories;L-2
Hivebase-1;Minos Cluster;Outer Rim Territories;M-20
Hemei;;Core Worlds;M-12
Hjaff;;Colonies;J-13
Hendanyn;;Colonies;M-13
Hleua;Eucer;Mid Rim;Q-7
Hendrix;Iska;Mid Rim;J-16
Hodi;;Core Worlds;M-10
Hensara;Rachuk;Colonies;N-11
Hofsgut;Hewett;Mid Rim;M-7
Heptalia;;Inner Rim;M-14
Hok;;Colonies;M-9
Heptooine;Grumani;Outer Rim Territories;N-17
Holador;Herios;Outer Rim Territories;T-16
Herakal;Ghost Nebula;Expansion Region;P-10
Holageus;Charra;Expansion Region;P-14
Herdessa;Herdessa;Mid Rim;Q-16
Holess;Manda;Mid Rim;R-14
Herego;;Colonies;M-9
Hollastin;;Hutt Space;S-12
Herios;Herios;Outer Rim Territories;T-16
Hologram Fun World;Phelleem;Outer Rim Territories;S-7
Heriston;Atravis;Outer Rim Territories;L-19
Holpern;Arkanis;Outer Rim Territories;R-16
Hermos;Spadja;Outer Rim Territories;R-5
Homana;Strabin;Mid Rim;M-6
Hero Twins;Relgim;Outer Rim Territories;L-4
Homon;Homon;Mid Rim;M-7
Herrik;Dantus;Outer Rim Territories;J-6
Honoghr;Kessel;Outer Rim Territories;T-10
Herstell;;Colonies;N-12
Hoogon;Dantus;Outer Rim Territories;J-6
Herzob;;Colonies;N-12
Hope Station;Haserian;Mid Rim;Q-14
Hesperys Station;Tunka (Dalnan);Outer Rim Territories;I-19
Horain;;Inner Rim;L-14
Hestria;Senex;Mid Rim;L-18
Horizon Base;Veragi;Outer Rim Territories;K-3
Heterkus;Tharin;Outer Rim Territories;S-8
Horn Station;Lahara;Outer Rim Territories;M-5
Hethar;Atrivis;Outer Rim Territories;L-5
Horob;Vardoss;Expansion Region;I-8
Hetnagaro;Andirma;Expansion Region;L-15
Horos;Lambda;Mid Rim;Q-15
Hettitite;Dalonbian;Outer Rim Territories;M-2
Horox;Lahara;Outer Rim Territories;M-5
Hettsk;Belsmuth;Outer Rim Territories;P-6
Horska;;Colonies;J-9
Hetzal;Savareen;Outer Rim Territories;Q-16
Horthav;Kuat;Core Worlds;M-10
Heva;Sevetta;Outer Rim Territories;S-16
Hortolo;Trans-Vulta;Mid Rim;O-7
Hevurion;;Inner Rim;L-8
Horuz;Atrivis;Outer Rim Territories;L-5
Hewett;Hewett;Mid Rim;M-6
Hosko;;Hutt Space;S-11
Hewl;Eidoloni;Mid Rim;M-16
Hosnian Prime;Hosnian;Core Worlds;M-12
Hexus;D'Astan;Outer Rim Territories;O-5
Hosrel;Centrality;Outer Rim Territories;U-8
Hibrath;;Unknown Regions;G-7
Hoszh Iszhir;Uoti;Core Worlds;K-9
Hidden Tegoor;Albanin;Outer Rim Territories;T-12
Hoth;Javin (Anoat);Outer Rim Territories;K-18
Hiffis;Jjannex;Outer Rim Territories;L-18
Houche;Zuma (Sugai);Outer Rim Territories;H-16
High Chunah;Javin;Outer Rim Territories;K-18
Hovan;Senex;Mid Rim;L-18
Hiit;Corporate Sector;Outer Rim Territories;S-3
Hoven;;Inner Rim;O-8
Hijado;Thesme;Outer Rim Territories;O-6
Hovun;Sepan;Expansion Region;P-13
Hoxim;;Unknown Regions;G-9
Ifron;Thuris;Outer Rim Territories;P-18
Hoylin;Fei Hu;Mid Rim;P-13
Ihopek;Mayagil;Outer Rim Territories;N-18
Hradreek;Graador;Mid Rim;I-17
Ikari;;Wild Space;H-14
Hraki;Vorzyd;Outer Rim Territories;R-6
Ikkrukk;Ryndellian;Mid Rim;P-17
Hrasskis;Kossa;Expansion Region;O-11
Ikon;Majoor;Expansion Region;N-15
Hreeshi;Kalamith;Outer Rim Territories;P-5
Iktotch;Narvath;Expansion Region;O-14
Hrel;Relgim;Outer Rim Territories;L-5
Ilamna;Eucer;Mid Rim;Q-7
Hrill;Yminis;Outer Rim Territories;S-15
Iliabath;Mortex;Outer Rim Territories;R-4
Hrthging;Mandalore;Outer Rim Territories;O-7
Ilimardon;Nicandra;Mid Rim;L-7
Hudalla;Stensen;Outer Rim Territories;I-17
Illarreen;Herios;Outer Rim Territories;T-16
Huk;;Wild Space;J-4
Illmuth;Corellian;Core Worlds;M-11
Huldamun;Arkanis;Outer Rim Territories;R-17
Illodia;Illodia;Core Worlds;K-13
Hull's Star;Farana*;Wild Space;S-3
Illoud;Hali;Expansion Region;O-9
Huloon;;Hutt Space;S-11
Iloh;;Inner Rim;N-9
Humbarine;Humbarine;Core Worlds;M-10
Ilos;;Hutt Space;R-10
Hurd's Moon;Bortele;Mid Rim;R-8
Ilos Minor;;Hutt Space;R-10
Hurikane;;Wild Space;V-9
Ilthan;;Core Worlds;M-11
Huro;Ciutric;Outer Rim Territories;N-5
Ilum;;Unknown Regions;G-7
Hurrim;Danjar;Outer Rim Territories;N-18
Imberlin;Imberlin;Expansion Region;P-14
Huru;Mieru'kar;Outer Rim Territories;N-4
Imdaar;Dantus;Outer Rim Territories;J-6
Hutlar;Senex;Mid Rim;L-17
Imena;Varada;Outer Rim Territories;H-19
Huulia;;Colonies;N-12
Imerria;Immeria;Expansion Region;O-14
Huvveck;Juris;Outer Rim Territories;O-17
Immalia;Immalia;Expansion Region;K-8
Huwaw;Lahara;Outer Rim Territories;M-5
Immeldia;Ash Worlds;Outer Rim Territories;T-7
Hyabb;Krenher;Core Worlds;K-9
Imram;Lannik Space;Mid Rim;R-13
Hyborea;Semagi;Mid Rim;I-16
Imroosia;;Inner Rim;N-9
Hyder;Tarabba;Outer Rim Territories;M-19
Imvur;Hertae;Mid Rim;Q-14
Hydra;Aparo (Catarlo);Outer Rim Territories;R-3
Imynusoph;Kallea;Outer Rim Territories;J-21
Hydraxia;;Inner Rim;M-13
Inamorata, The;Bheriz;Outer Rim Territories;U-10
Hyell;Vilonis;Mid Rim;O-16
Inat Prime;Quiberon;Outer Rim Territories;S-15
Hylaia;;Inner Rim;O-9
Indellian;Javin (Yarith);Outer Rim Territories;K-18
Hylanth;Meram;Outer Rim Territories;O-4
Indoumodo;;Wild Space;S-18
Hylobi;Taldot;Mid Rim;Q-8
Indu San;Rolion;Outer Rim Territories;Q-7
Hynah;Kalamith;Outer Rim Territories;P-5
Indupar;Ado;Mid Rim;M-17
Hynestia;Hynestian;Colonies;J-13
Ingae;Rseik;Outer Rim Territories;N-20
Hyperkarn;Grohl;Outer Rim Territories;R-16
Ingo;Bortele;Mid Rim;R-8
Hypori;Ferra;Outer Rim Territories;S-16
Injopan;Kessel;Outer Rim Territories;T-10
Hypotria;Bortele;Mid Rim;S-8
Innton;Sluis;Outer Rim Territories;M-18
Hyrol Preen Beta;Portmoak;Outer Rim Territories;P-18
Insk;;Wild Space;P-3
Hysalria;Sluis;Outer Rim Territories;M-19
Insta;Majoor;Expansion Region;N-15
Hythrope;Hythrope;Expansion Region;M-15
Intran;Brak;Expansion Region;O-14
I'vorcia Prime;Mieru'kar;Outer Rim Territories;O-4
Intuci;Abrion;Outer Rim Territories;S-15
Iakar;Rseik;Outer Rim Territories;N-20
Inusagi;Vilonis;Mid Rim;O-16
Ianane;;Wild Space;I-10
Inysh;;Core Worlds;J-12
Iast;Aldino;Mid Rim;J-17
Iokath;;Unknown Regions;D-7
Ibaar;Jubilar;Outer Rim Territories;T-8
Iol;;Unknown Regions;I-10
Ibanjji;Mieru'kar;Outer Rim Territories;N-4
Ione;Javin (Anoat);Outer Rim Territories;K-18
Ibbe;Subterrel;Outer Rim Territories;L-20
Iope;;Deep Core;L-10
Iceni;Corporate Sector;Outer Rim Territories;R-4
Iotra;Suolriep (Iotran Expanse);Outer Rim Territories;S-8
Ichalin Station;Hijoian Space;Expansion Region;J-8
Ipellrilla;Glythe;Mid Rim;K-7
Ichtor;Sombure;Mid Rim;K-16
Iphar;;Inner Rim;L-14
Icindra;Calamari;Outer Rim Territories;U-6
Iphigin;;Core Worlds;L-13
Idaflor;Sarin;Outer Rim Territories;O-18
Ipsidon;Corthenia;Mid Rim;K-7
Idolia;Halthor;Outer Rim Territories;M-6
Irff;Couronne;Expansion Region;P-10
Iego;Ash Worlds;Outer Rim Territories;T-7
Iridia;Glythe;Mid Rim;J-7
Ifmix;;Colonies;M-9
Iridium;Atrivis;Outer Rim Territories;L-5
Iridonia;Glythe;Mid Rim;J-7
Jaga's Cluster;Esstran;Outer Rim Territories;Q-5
Irith;;Hutt Space;S-11
Jagomir;Esstran;Outer Rim Territories;Q-5
Irkalla;;Unknown Regions;G-13
Jaguada;Esstran (Sith Worlds);Outer Rim Territories;R-5
Irmenu;Belsmuth;Outer Rim Territories;O-6
Jahilid;;Wild Space;L-21
Irudiru;Wyl;Outer Rim Territories;S-4
Jakelia;Mandalore;Outer Rim Territories;O-7
Iscera;Dalchon;Outer Rim Territories;R-17
Jakku;;Inner Rim;I-13
Iscno;;Core Worlds;K-12
Jalarren;Senex;Mid Rim;L-18
Isde Naha;Javin (Yarith);Outer Rim Territories;K-18
Jalin;;Core Worlds;M-11
Isen;D'Astan;Outer Rim Territories;N-5
Jalindi;Gordian Reach;Outer Rim Territories;P-6
Iseno;Iseno;Inner Rim;N-13
Jaloria;Jalor;Mid Rim;J-7
Ishanna;Circarpous;Expansion Region;O-12
Jalucaz;Subterrel;Outer Rim Territories;L-20
Ishbix;Agarix;Mid Rim;K-17
Jaminere;Allied Tion;Outer Rim Territories;S-6
Ishram Nebula;Seitia;Outer Rim Territories;J-20
Jamiri;Myto;Outer Rim Territories;K-4
Isht;;Core Worlds;L-13
Jamiron;Chiss Space*;Unknown Regions;F-8
Isiring;Cassander (Tendrannan);Outer Rim Territories;L-5
Janako;;Inner Rim;N-11
Iska;Iska;Mid Rim;K-17
Janara;;Inner Rim;L-14
Iskallon;;Wild Space;H-14
Janaus;Thrasybule;Outer Rim Territories;P-6
Iskalon;Trans-Nebular;Mid Rim;R-16
Jandolhoon;Bosph;Outer Rim Territories;Q-3
Iskin;Iskin;Mid Rim;O-16
Jandoon;Corva;Outer Rim Territories;P-4
Isobi;;Inner Rim;M-8
Jandur;;Inner Rim;J-14
Isolt;Sujimis;Outer Rim Territories;P-19
JanFathal;Fath;Outer Rim Territories;K-6
Ison;Javin (Anoat);Outer Rim Territories;K-18
Jangelle;Kathol;Outer Rim Territories;M-21
Issagra;Corporate Sector;Outer Rim Territories;S-4
Janguine;Halthor;Outer Rim Territories;L-6
Issor;Arkanis;Outer Rim Territories;R-17
Janilis;Cronese Mandate;Outer Rim Territories;S-6
Istic;Teraab;Mid Rim;Q-11
Jankok;Bozhnee;Outer Rim Territories;L-18
Italbos;Halori;Mid Rim;Q-7
Janodral Mizar;Indrexu;Outer Rim Territories;S-5
Itani;;Inner Rim;N-14
Jante;Esaga;Mid Rim;Q-11
Itani Nebula;;Inner Rim;N-14
Japai;Yushan;Mid Rim;K-17
Itapi Prime;;Core Worlds;L-9
Japeal;Kanz;Outer Rim Territories;N-4
Ithica;;Inner Rim;K-14
Jappe;Tapani;Colonies;L-13
Ithor;Ottega;Mid Rim;M-6
Jarbanov;Serathrace;Expansion Region;P-11
Ithori;Ado;Mid Rim;M-17
Jardeen;Trans-Jardeen;Expansion Region;K-16
Ithull;Airon;Inner Rim;O-10
Jaresh;Corva;Outer Rim Territories;P-4
Iti;Tammuz;Outer Rim Territories;T-14
Jargridia;Sprizen;Outer Rim Territories;N-5
Ivarujar;Vensensor;Expansion Region;K-16
Jarnollen;Bright Jewel;Mid Rim;L-7
Ivatch;Kathol;Outer Rim Territories;M-21
Jarsatt;Hakartha;Expansion Region;L-16
Ivera;;Core Worlds;L-12
Jarvanam;Astal;Outer Rim Territories;P-17
Ivexia;Tennuutta;Mid Rim;Q-7
Jastro;;Core Worlds;M-10
Ividal;Ividal;Mid Rim;P-14
Jatir;;Colonies;L-9
Ivis;;Inner Rim;N-10
Javarica;Tynquay;Outer Rim Territories;Q-4
Ixilix;Japrael;Inner Rim;O-9
Javin;Javin;Outer Rim Territories;K-18
Ixtlar;Ixtlar;Core Worlds;L-10
Javis;Tapani;Colonies;L-13
Ixzinia;Agarix;Mid Rim;K-17
Jaxus;;Core Worlds;M-10
Iyred;Kibilini;Outer Rim Territories;Q-17
Jaymir;;Mid Rim;I-16
Iyuta;Fakir;Colonies;K-9
Jazbina;Lostar;Expansion Region;M-8
J'doytzin;Maldrood;Mid Rim;R-7
Jebble;Ojoster;Outer Rim Territories;N-7
J't'p'tan;Farlax;Core Worlds;K-10
